contract_version,is_synthetic,source,ingested_at,mine_code,blast_id,planned_at,executed_at,delay_hours,bench_or_level,holes_charged,explosive_kg,tonnes_broken,mean_fragmentation_cm,outcome
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141713,MOIL-BAL-01,MOIL-BAL-01-BL-00011,2023-10-01T06:00:00,2023-10-01T11:34:48.033571,5.58,L7,53,634.8,913.1,16.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141719,MOIL-BAL-01,MOIL-BAL-01-BL-00012,2023-10-02T06:00:00,2023-10-02T06:00:00,0.0,L8,87,589.9,1633.5,24.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141725,MOIL-BAL-01,MOIL-BAL-01-BL-00013,2023-10-03T06:00:00,2023-10-03T06:00:00,0.0,L3,66,381.3,1308.6,29.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141735,MOIL-BAL-01,MOIL-BAL-01-BL-00014,2023-10-04T06:00:00,2023-10-04T06:00:00,0.0,L2,18,339.8,1269.5,17.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141742,MOIL-BAL-01,MOIL-BAL-01-BL-00015,2023-10-05T06:00:00,2023-10-05T19:51:20.909628,13.86,L7,64,1052.5,1180.4,21.3,partial
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141749,MOIL-BAL-01,MOIL-BAL-01-BL-00016,2023-10-06T06:00:00,2023-10-06T06:00:00,0.0,L7,59,231.7,3066.1,22.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141756,MOIL-BAL-01,MOIL-BAL-01-BL-00017,2023-10-07T06:00:00,2023-10-07T06:00:00,0.0,L2,62,534.9,1341.4,13.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141763,MOIL-BAL-01,MOIL-BAL-01-BL-00018,2023-10-08T06:00:00,2023-10-08T06:00:00,0.0,L1,40,253.4,2130.5,14.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141769,MOIL-BAL-01,MOIL-BAL-01-BL-00019,2023-10-09T06:00:00,2023-10-09T06:00:00,0.0,L8,30,430.3,944.9,24.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141777,MOIL-BAL-01,MOIL-BAL-01-BL-00020,2023-10-10T06:00:00,2023-10-10T06:00:00,0.0,L4,72,338.6,1283.9,18.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141783,MOIL-BAL-01,MOIL-BAL-01-BL-00021,2023-10-11T06:00:00,2023-10-11T06:00:00,0.0,L4,86,535.9,2753.8,23.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141789,MOIL-BAL-01,MOIL-BAL-01-BL-00022,2023-10-12T06:00:00,2023-10-12T06:00:00,0.0,L1,55,475.3,2145.8,21.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141797,MOIL-BAL-01,MOIL-BAL-01-BL-00023,2023-10-13T06:00:00,2023-10-13T06:00:00,0.0,L5,28,267.3,1840.1,37.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141803,MOIL-BAL-01,MOIL-BAL-01-BL-00024,2023-10-14T06:00:00,2023-10-14T06:00:00,0.0,L8,48,841.9,1225.2,30.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141809,MOIL-BAL-01,MOIL-BAL-01-BL-00025,2023-10-15T06:00:00,2023-10-15T06:00:00,0.0,L7,71,244.7,640.2,21.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141815,MOIL-BAL-01,MOIL-BAL-01-BL-00026,2023-10-16T06:00:00,2023-10-16T06:00:00,0.0,L2,47,466.5,2067.5,19.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141822,MOIL-BAL-01,MOIL-BAL-01-BL-00027,2023-10-17T06:00:00,2023-10-17T06:00:00,0.0,L7,76,404.8,1896.8,26.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141828,MOIL-BAL-01,MOIL-BAL-01-BL-00028,2023-10-18T06:00:00,2023-10-18T06:00:00,0.0,L2,75,36.6,2318.6,9.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141834,MOIL-BAL-01,MOIL-BAL-01-BL-00029,2023-10-19T06:00:00,2023-10-19T06:00:00,0.0,L8,79,349.8,1231.3,14.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141840,MOIL-BAL-01,MOIL-BAL-01-BL-00030,2023-10-20T06:00:00,2023-10-20T06:00:00,0.0,L8,41,217.5,1481.9,18.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141846,MOIL-BAL-01,MOIL-BAL-01-BL-00031,2023-10-21T06:00:00,2023-10-21T06:00:00,0.0,L7,60,142.7,1768.4,37.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141852,MOIL-BAL-01,MOIL-BAL-01-BL-00032,2023-10-22T06:00:00,2023-10-22T06:00:00,0.0,L8,28,639.1,2594.9,17.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141859,MOIL-BAL-01,MOIL-BAL-01-BL-00033,2023-10-23T06:00:00,2023-10-23T21:21:56.298237,15.37,L4,56,287.6,1438.6,16.9,partial
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141866,MOIL-BAL-01,MOIL-BAL-01-BL-00034,2023-10-24T06:00:00,2023-10-24T06:50:55.434608,0.85,L5,41,106.9,1574.3,14.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141873,MOIL-BAL-01,MOIL-BAL-01-BL-00035,2023-10-25T06:00:00,2023-10-25T06:00:00,0.0,L4,76,106.8,1074.9,8.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141879,MOIL-BAL-01,MOIL-BAL-01-BL-00036,2023-10-26T06:00:00,2023-10-26T06:00:00,0.0,L3,76,365.6,992.5,5.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141886,MOIL-BAL-01,MOIL-BAL-01-BL-00037,2023-10-27T06:00:00,2023-10-27T06:00:00,0.0,L1,19,256.7,1661.5,38.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141892,MOIL-BAL-01,MOIL-BAL-01-BL-00038,2023-10-28T06:00:00,2023-10-28T06:00:00,0.0,L8,30,668.4,1814.6,18.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141898,MOIL-BAL-01,MOIL-BAL-01-BL-00039,2023-10-29T06:00:00,2023-10-29T11:18:48.234343,5.31,L5,82,245.2,1274.2,19.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141904,MOIL-BAL-01,MOIL-BAL-01-BL-00040,2023-10-30T06:00:00,2023-10-30T06:00:00,0.0,L3,85,330.5,1377.3,14.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141910,MOIL-BAL-01,MOIL-BAL-01-BL-00041,2023-10-31T06:00:00,2023-10-31T06:00:00,0.0,L5,55,472.1,994.2,13.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141917,MOIL-BAL-01,MOIL-BAL-01-BL-00042,2023-11-01T06:00:00,2023-11-01T06:00:00,0.0,L5,72,239.0,2090.5,22.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141923,MOIL-BAL-01,MOIL-BAL-01-BL-00043,2023-11-02T06:00:00,2023-11-02T06:00:00,0.0,L2,65,509.0,1284.2,12.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141929,MOIL-BAL-01,MOIL-BAL-01-BL-00044,2023-11-03T06:00:00,2023-11-03T06:00:00,0.0,L5,67,101.8,817.5,14.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141935,MOIL-BAL-01,MOIL-BAL-01-BL-00045,2023-11-04T06:00:00,2023-11-04T06:00:00,0.0,L3,20,164.3,1663.4,20.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141941,MOIL-BAL-01,MOIL-BAL-01-BL-00046,2023-11-05T06:00:00,2023-11-05T06:00:00,0.0,L6,52,335.9,1509.2,31.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141947,MOIL-BAL-01,MOIL-BAL-01-BL-00047,2023-11-06T06:00:00,2023-11-06T13:47:15.329378,7.79,L3,52,340.9,998.5,37.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141955,MOIL-BAL-01,MOIL-BAL-01-BL-00048,2023-11-07T06:00:00,2023-11-07T06:00:00,0.0,L1,73,117.9,1226.9,23.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141961,MOIL-BAL-01,MOIL-BAL-01-BL-00049,2023-11-08T06:00:00,2023-11-08T10:48:12.914565,4.8,L7,31,255.4,450.5,16.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141968,MOIL-BAL-01,MOIL-BAL-01-BL-00050,2023-11-09T06:00:00,2023-11-09T06:00:00,0.0,L4,50,432.0,3273.0,18.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141974,MOIL-BAL-01,MOIL-BAL-01-BL-00051,2023-11-10T06:00:00,2023-11-10T06:00:00,0.0,L3,19,641.2,1103.7,24.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141980,MOIL-BAL-01,MOIL-BAL-01-BL-00052,2023-11-11T06:00:00,2023-11-11T06:00:00,0.0,L8,46,279.8,3123.3,14.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141986,MOIL-BAL-01,MOIL-BAL-01-BL-00053,2023-11-12T06:00:00,2023-11-12T10:42:31.320697,4.71,L3,81,194.0,935.3,22.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141993,MOIL-BAL-01,MOIL-BAL-01-BL-00054,2023-11-13T06:00:00,2023-11-13T11:30:01.260166,5.5,L2,45,348.3,1037.7,29.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.141999,MOIL-BAL-01,MOIL-BAL-01-BL-00055,2023-11-14T06:00:00,2023-11-14T06:00:00,0.0,L7,80,160.7,1473.5,29.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142005,MOIL-BAL-01,MOIL-BAL-01-BL-00056,2023-11-15T06:00:00,2023-11-15T06:00:00,0.0,L7,21,357.3,1178.3,22.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142011,MOIL-BAL-01,MOIL-BAL-01-BL-00057,2023-11-16T06:00:00,2023-11-16T06:00:00,0.0,L5,70,542.6,1757.4,22.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142017,MOIL-BAL-01,MOIL-BAL-01-BL-00058,2023-11-17T06:00:00,2023-11-17T06:00:00,0.0,L2,31,405.9,1516.3,7.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142023,MOIL-BAL-01,MOIL-BAL-01-BL-00059,2023-11-18T06:00:00,2023-11-18T06:00:00,0.0,L4,89,259.4,2930.6,14.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142031,MOIL-BAL-01,MOIL-BAL-01-BL-00060,2023-11-19T06:00:00,2023-11-19T06:00:00,0.0,L1,27,182.9,1221.0,21.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142037,MOIL-BAL-01,MOIL-BAL-01-BL-00061,2023-11-20T06:00:00,2023-11-20T06:00:00,0.0,L1,20,367.3,1594.0,21.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142043,MOIL-BAL-01,MOIL-BAL-01-BL-00062,2023-11-21T06:00:00,2023-11-21T06:00:00,0.0,L2,44,311.7,1421.8,16.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142049,MOIL-BAL-01,MOIL-BAL-01-BL-00063,2023-11-22T06:00:00,2023-11-22T06:00:00,0.0,L2,37,250.9,1857.6,36.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142055,MOIL-BAL-01,MOIL-BAL-01-BL-00064,2023-11-23T06:00:00,2023-11-23T06:00:00,0.0,L8,78,312.3,1827.0,13.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142062,MOIL-BAL-01,MOIL-BAL-01-BL-00065,2023-11-24T06:00:00,2023-11-24T20:14:07.584172,14.24,L3,60,235.8,890.9,20.2,partial
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142068,MOIL-BAL-01,MOIL-BAL-01-BL-00066,2023-11-25T06:00:00,2023-11-25T06:00:00,0.0,L3,53,633.7,873.1,25.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142074,MOIL-BAL-01,MOIL-BAL-01-BL-00067,2023-11-26T06:00:00,2023-11-26T06:00:00,0.0,L8,74,194.9,1361.7,24.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142080,MOIL-BAL-01,MOIL-BAL-01-BL-00068,2023-11-27T06:00:00,2023-11-27T06:00:00,0.0,L7,49,350.1,1609.7,14.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142086,MOIL-BAL-01,MOIL-BAL-01-BL-00069,2023-11-28T06:00:00,2023-11-28T06:00:00,0.0,L4,24,296.2,2163.9,13.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142094,MOIL-BAL-01,MOIL-BAL-01-BL-00070,2023-11-29T06:00:00,2023-11-29T06:00:00,0.0,L1,64,130.0,1859.8,4.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142100,MOIL-BAL-01,MOIL-BAL-01-BL-00071,2023-11-30T06:00:00,2023-11-30T06:00:00,0.0,L4,39,286.8,909.3,9.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142107,MOIL-BAL-01,MOIL-BAL-01-BL-00072,2023-12-01T06:00:00,2023-12-01T10:12:00.395475,4.2,L5,60,249.8,818.8,17.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142113,MOIL-BAL-01,MOIL-BAL-01-BL-00073,2023-12-02T06:00:00,2023-12-02T06:00:00,0.0,L6,80,445.1,968.4,16.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142119,MOIL-BAL-01,MOIL-BAL-01-BL-00074,2023-12-03T06:00:00,2023-12-03T06:00:00,0.0,L8,19,420.9,2189.2,16.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142125,MOIL-BAL-01,MOIL-BAL-01-BL-00075,2023-12-04T06:00:00,2023-12-04T06:00:00,0.0,L6,70,167.2,2097.0,26.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142131,MOIL-BAL-01,MOIL-BAL-01-BL-00076,2023-12-05T06:00:00,2023-12-05T06:00:00,0.0,L5,28,1099.3,1473.0,14.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142137,MOIL-BAL-01,MOIL-BAL-01-BL-00077,2023-12-06T06:00:00,2023-12-06T06:00:00,0.0,L2,34,521.8,2103.5,18.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142144,MOIL-BAL-01,MOIL-BAL-01-BL-00078,2023-12-07T06:00:00,2023-12-07T06:00:00,0.0,L1,61,675.9,2197.0,20.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142151,MOIL-BAL-01,MOIL-BAL-01-BL-00079,2023-12-08T06:00:00,2023-12-08T06:00:00,0.0,L4,38,233.2,1451.0,24.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142158,MOIL-BAL-01,MOIL-BAL-01-BL-00080,2023-12-09T06:00:00,2023-12-09T19:06:44.554738,13.11,L4,66,232.5,3825.7,31.1,partial
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142164,MOIL-BAL-01,MOIL-BAL-01-BL-00081,2023-12-10T06:00:00,2023-12-10T06:00:00,0.0,L7,87,520.0,1830.9,25.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142170,MOIL-BAL-01,MOIL-BAL-01-BL-00082,2023-12-11T06:00:00,2023-12-11T06:00:00,0.0,L3,23,586.7,1458.8,12.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142176,MOIL-BAL-01,MOIL-BAL-01-BL-00083,2023-12-12T06:00:00,2023-12-12T06:00:00,0.0,L8,64,414.8,1660.3,25.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142182,MOIL-BAL-01,MOIL-BAL-01-BL-00084,2023-12-13T06:00:00,2023-12-13T06:00:00,0.0,L4,36,243.6,1525.3,14.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142188,MOIL-BAL-01,MOIL-BAL-01-BL-00085,2023-12-14T06:00:00,2023-12-14T06:00:00,0.0,L2,86,353.5,2507.0,28.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142194,MOIL-BAL-01,MOIL-BAL-01-BL-00086,2023-12-15T06:00:00,2023-12-15T06:00:00,0.0,L7,21,332.8,1554.1,14.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142200,MOIL-BAL-01,MOIL-BAL-01-BL-00087,2023-12-16T06:00:00,2023-12-16T06:00:00,0.0,L7,48,363.8,2256.8,13.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142206,MOIL-BAL-01,MOIL-BAL-01-BL-00088,2023-12-17T06:00:00,2023-12-17T06:00:00,0.0,L8,35,314.7,1967.2,11.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142212,MOIL-BAL-01,MOIL-BAL-01-BL-00089,2023-12-18T06:00:00,2023-12-18T06:00:00,0.0,L7,63,274.6,2214.1,18.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142218,MOIL-BAL-01,MOIL-BAL-01-BL-00090,2023-12-19T06:00:00,2023-12-19T06:00:00,0.0,L6,82,555.7,2943.4,13.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142224,MOIL-BAL-01,MOIL-BAL-01-BL-00091,2023-12-20T06:00:00,2023-12-20T06:00:00,0.0,L2,77,189.9,1469.7,25.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142230,MOIL-BAL-01,MOIL-BAL-01-BL-00092,2023-12-21T06:00:00,2023-12-21T06:00:00,0.0,L8,36,346.1,1553.7,24.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142236,MOIL-BAL-01,MOIL-BAL-01-BL-00093,2023-12-22T06:00:00,2023-12-22T06:00:00,0.0,L2,59,366.6,1350.2,28.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142242,MOIL-BAL-01,MOIL-BAL-01-BL-00094,2023-12-23T06:00:00,2023-12-23T06:00:00,0.0,L7,68,644.7,1324.0,27.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142248,MOIL-BAL-01,MOIL-BAL-01-BL-00095,2023-12-24T06:00:00,2023-12-24T06:00:00,0.0,L2,63,232.1,1290.1,22.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142254,MOIL-BAL-01,MOIL-BAL-01-BL-00096,2023-12-25T06:00:00,2023-12-25T06:00:00,0.0,L7,43,336.3,1598.1,24.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142260,MOIL-BAL-01,MOIL-BAL-01-BL-00097,2023-12-26T06:00:00,2023-12-26T06:00:00,0.0,L7,53,287.9,1480.7,9.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142266,MOIL-BAL-01,MOIL-BAL-01-BL-00098,2023-12-27T06:00:00,2023-12-27T06:00:00,0.0,L5,33,157.0,1272.2,13.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142274,MOIL-BAL-01,MOIL-BAL-01-BL-00099,2023-12-28T06:00:00,2023-12-28T06:00:00,0.0,L2,19,464.0,1240.7,8.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142281,MOIL-BAL-01,MOIL-BAL-01-BL-00100,2023-12-29T06:00:00,2023-12-29T06:00:00,0.0,L8,87,336.8,1048.4,21.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142287,MOIL-BAL-01,MOIL-BAL-01-BL-00101,2023-12-30T06:00:00,2023-12-30T06:00:00,0.0,L3,79,177.3,670.8,32.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142294,MOIL-BAL-01,MOIL-BAL-01-BL-00102,2023-12-31T06:00:00,2023-12-31T06:23:58.058765,0.4,L3,80,292.8,1079.8,14.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142300,MOIL-BAL-01,MOIL-BAL-01-BL-00103,2024-01-01T06:00:00,2024-01-01T06:00:00,0.0,L1,44,311.3,1536.8,12.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142306,MOIL-BAL-01,MOIL-BAL-01-BL-00104,2024-01-02T06:00:00,2024-01-02T06:00:00,0.0,L1,28,234.6,1674.8,16.1,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142312,MOIL-BAL-01,MOIL-BAL-01-BL-00105,2024-01-03T06:00:00,2024-01-03T06:00:00,0.0,L8,54,133.5,3458.7,16.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142318,MOIL-BAL-01,MOIL-BAL-01-BL-00106,2024-01-04T06:00:00,2024-01-04T06:00:00,0.0,L7,69,332.8,1516.9,39.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142325,MOIL-BAL-01,MOIL-BAL-01-BL-00107,2024-01-05T06:00:00,2024-01-05T06:00:00,0.0,L1,37,428.1,687.5,17.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142331,MOIL-BAL-01,MOIL-BAL-01-BL-00108,2024-01-06T06:00:00,2024-01-06T06:00:00,0.0,L3,44,404.0,1874.0,32.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142337,MOIL-BAL-01,MOIL-BAL-01-BL-00109,2024-01-07T06:00:00,2024-01-07T06:00:00,0.0,L3,85,395.3,789.0,20.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142345,MOIL-BAL-01,MOIL-BAL-01-BL-00110,2024-01-08T06:00:00,2024-01-08T06:00:00,0.0,L6,72,345.3,1808.1,12.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142351,MOIL-BAL-01,MOIL-BAL-01-BL-00111,2024-01-09T06:00:00,2024-01-09T06:00:00,0.0,L7,63,246.1,730.4,27.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142357,MOIL-BAL-01,MOIL-BAL-01-BL-00112,2024-01-10T06:00:00,2024-01-10T06:00:00,0.0,L1,75,156.9,1384.3,9.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142363,MOIL-BAL-01,MOIL-BAL-01-BL-00113,2024-01-11T06:00:00,2024-01-11T06:00:00,0.0,L5,27,188.9,573.7,13.4,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142369,MOIL-BAL-01,MOIL-BAL-01-BL-00114,2024-01-12T06:00:00,2024-01-12T06:00:00,0.0,L3,47,131.2,1270.1,14.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142375,MOIL-BAL-01,MOIL-BAL-01-BL-00115,2024-01-13T06:00:00,2024-01-13T06:00:00,0.0,L1,60,206.7,2052.8,23.6,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142381,MOIL-BAL-01,MOIL-BAL-01-BL-00116,2024-01-14T06:00:00,2024-01-14T06:00:00,0.0,L1,27,429.2,613.4,37.2,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142387,MOIL-BAL-01,MOIL-BAL-01-BL-00117,2024-01-15T06:00:00,2024-01-15T06:00:00,0.0,L8,25,598.8,1429.7,25.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.142393,MOIL-BAL-01,MOIL-BAL-01-BL-00118,2024-01-16T06:00:00,2024-01-16T06:00:00,0.0,L6,42,232.3,1585.6,17.9,success
